route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105330F223219:2022-09-20T00:34:13Z,105330,1,1,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105330F844602:2022-09-22T00:33:27Z,105330,1,2,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN105330F1076791:2022-09-21T00:33:43Z,105330,1,3,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN105340F708981:2022-09-23T00:34:13Z,105340,1,4,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105342F334984:2022-09-20T00:34:13Z,105342,1,5,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN105342F1074673:2022-09-21T00:33:43Z,105342,1,6,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105345F313423:2022-07-20T00:33:34Z,105345,1,7,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105345F1185114:2022-09-19T00:36:24Z,105345,1,8,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN105347F828914:2022-09-23T00:34:13Z,105347,1,9,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105347F1073608:2022-09-23T00:34:13Z,105347,1,10,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN105350F708914:2022-09-21T00:33:43Z,105350,1,11,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN105350F1024925:2022-06-11T00:40:04Z,105350,1,12,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN105350F1296010:2022-09-22T00:33:27Z,105350,1,13,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN105362F708990:2022-09-23T00:34:13Z,105362,1,14,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105362F1082349:2022-09-23T00:34:13Z,105362,1,15,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105367F845057:2022-09-22T00:33:27Z,105367,1,16,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000013,OCESN105367F1386434:2022-09-22T00:33:27Z,105367,1,17,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN105375F708168:2022-09-23T00:34:13Z,105375,1,18,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN105375F708644:2022-09-23T00:34:13Z,105375,1,19,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000016,OCESN105377F383942:2022-09-19T00:36:24Z,105377,1,20,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000017,OCESN105377F709388:2022-09-23T00:34:13Z,105377,1,21,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN105377F1024884:2022-06-02T00:34:26Z,105377,1,22,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000019,OCESN105377F1054202:2022-09-23T00:34:13Z,105377,1,23,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN105378F334703:2022-09-20T00:34:13Z,105378,1,24,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN105378F709000:2022-09-23T00:34:13Z,105378,1,25,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN105378F1024634:2022-09-23T00:34:13Z,105378,1,26,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000022,OCESN105379F335191:2022-09-18T00:33:45Z,105379,1,27,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000023,OCESN105379F1073700:2022-09-21T00:33:43Z,105379,1,28,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000024,OCESN105431F1099614:2022-09-20T00:34:13Z,105431,,29,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000016,OCESN105432F223481:2022-09-19T00:36:24Z,105432,1,30,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105432F371030:2022-09-20T00:34:13Z,105432,1,31,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000025,OCESN105432F708943:2022-09-23T00:34:13Z,105432,1,32,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000024,OCESN105432F1073818:2022-09-20T00:34:13Z,105432,1,33,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN105432F1074058:2022-09-21T00:33:43Z,105432,1,34,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105432F1082469:2022-09-23T00:34:13Z,105432,1,35,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN105437F709003:2022-09-23T00:34:13Z,105437,1,36,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105437F1073495:2022-09-23T00:34:13Z,105437,1,37,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000026,OCESN105437F1077662:2022-09-21T00:33:43Z,105437,1,38,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000027,OCESN105442F383071:2022-09-20T00:34:13Z,105442,1,39,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000026,OCESN105442F1073344:2022-09-21T00:33:43Z,105442,1,40,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000028,OCESN105442F1185178:2022-07-20T00:33:34Z,105442,1,41,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105450F1106390:2022-09-22T00:33:27Z,105450,1,42,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000029,OCESN105450F1385863:2022-09-22T00:33:27Z,105450,1,43,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN105451F1073528:2022-09-21T00:33:43Z,105451,,44,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000023,OCESN105455F1075101:2022-09-21T00:33:43Z,105455,,45,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000030,OCESN105476F335165:2022-09-20T00:34:13Z,105476,1,46,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105484F578660:2022-09-22T00:33:27Z,105484,1,47,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000031,OCESN105484F1386291:2022-09-22T00:33:27Z,105484,1,48,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN105485F334994:2022-09-20T00:34:13Z,105485,1,49,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN105485F709681:2022-09-23T00:34:13Z,105485,1,50,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN105485F1073396:2022-09-23T00:34:13Z,105485,1,51,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000022,OCESN105494F383009:2022-09-18T00:33:45Z,105494,1,52,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000030,OCESN105494F383450:2022-09-20T00:34:13Z,105494,1,53,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000032,OCESN106320F1082635:2022-09-23T00:34:13Z,106320,,54,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN106330F881356:2022-09-23T00:34:13Z,106330,0,55,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN106330F1203659:2022-09-23T00:34:13Z,106330,0,56,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000031,OCESN106331F415733:2022-09-20T00:34:13Z,106331,0,57,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN106331F856313:2022-09-23T00:34:13Z,106331,0,58,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN106331F1203702:2022-09-23T00:34:13Z,106331,0,59,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000033,OCESN106342F833390:2022-09-19T00:36:24Z,106342,0,60,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000024,OCESN106342F1099616:2022-09-20T00:34:13Z,106342,0,61,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000034,OCESN106345F709007:2022-09-23T00:34:13Z,106345,0,62,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000030,OCESN106347F335162:2022-09-20T00:34:13Z,106347,0,63,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000035,OCESN106347F708878:2022-09-23T00:34:13Z,106347,0,64,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN106347F1073491:2022-09-23T00:34:13Z,106347,0,65,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000036,OCESN106350F708977:2022-09-21T00:33:43Z,106350,0,66,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN106350F1083309:2022-09-22T00:33:27Z,106350,0,67,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000013,OCESN106367F385490:2022-09-19T00:36:24Z,106367,0,68,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN106367F1024387:2022-09-22T00:33:27Z,106367,0,69,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000024,OCESN106367F1099573:2022-09-20T00:34:13Z,106367,0,70,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000037,OCESN106377F709021:2022-09-23T00:34:13Z,106377,0,71,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000019,OCESN106377F1083306:2022-09-23T00:34:13Z,106377,0,72,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000038,OCESN106378F708991:2022-09-23T00:34:13Z,106378,0,73,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN106378F1073210:2022-09-23T00:34:13Z,106378,0,74,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000039,OCESN106379F334948:2022-09-20T00:34:13Z,106379,0,75,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000023,OCESN106379F1073179:2022-09-21T00:33:43Z,106379,0,76,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN106437F708985:2022-09-23T00:34:13Z,106437,0,77,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN106437F1082870:2022-09-23T00:34:13Z,106437,0,78,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000030,OCESN106442F419825:2022-09-20T00:34:13Z,106442,0,79,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN106442F1073663:2022-09-21T00:33:43Z,106442,0,80,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000040,OCESN106450F708982:2022-09-23T00:34:13Z,106450,0,81,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN106450F1073444:2022-09-23T00:34:13Z,106450,0,82,
